jugador,frecuencia
reitsch01,2
thomsjo01,2
gallomi01,4
reyesal01,1
cottsne01,4
garlajo01,2
santaer01,5
yanes01,1
gonzaje01,1
papeljo01,7
jenksbo01,3
marteda01,5
politcl01,2
chacosh01,1
proctsc01,2
smallaa01,1
wangch01,3
astacez01,2
carpech01,11
florera01,5
thompbr01,5
henslcl01,2
lawrebr02,1
linebsc01,3
otsukak01,1
peavyja01,8
devinjo01,1
fostejo01,1
mcbrima01,1
sosajo02,1
rodriwa01,2
vizcalu01,2
bondeje01,3
grillja01,6
ledezwi01,2
roberna01,3
rodnefe01,4
verlaju01,11
walkeja01,3
zumayjo01,3
blantjo01,9
gaudich01,2
kennejo04,1
streehu01,4
brunebr01,2
bonsebo01,1
guerrma02,3
neshepa01,4
perkigl01,1
reyesde01,2
duchsju01,1
felicpe01,2
heilmaa01,2
mainejo01,2
motagu01,6
perezol01,1
trachst01,2
hancojo01,2
johnsty01,3
kinnejo01,3
reyesan01,2
wainwad01,11
billich01,4
broxtjo01,6
hendrma01,1
kuoho01,4
saitota01,5
meredcl01,1
parkch01,4
youngch03,1
minerza01,1
delcama01,5
lestejo01,9
lopezja02,13
matsuda01,5
okajihi01,6
betanra01,3
carmofa01,2
laffeaa01,1
lewisje01,2
mastnto01,1
perezra01,2
westbja01,3
moseldu01,2
speieju01,1
weaveje02,5
chambjo03,8
hugheph01,9
ohlenro01,1
verasjo01,3
davisdo02,2
lyonbr01,2
nippedu01,2
owingmi01,2
penato03,2
slatedo01,1
valvejo01,7
webbbr01,2
affelje01,11
corpama01,3
foggjo01,3
francje01,3
fuentbr01,6
jimenub01,4
moralfr01,6
speiery01,3
dempsry01,5
hartke01,1
hillri01,1
marmoca01,3
wuertmi01,1
condrcl01,3
hamelco01,10
kendrky01,1
myersbr01,6
cookaa01,2
masteju01,3
garzama01,4
howeljp01,7
jacksed01,6
kazmisc01,5
priceda01,6
shielja02,9
sonnaan01,3
arredjo01,2
saundjo01,5
danksjo01,1
floydga01,1
richacl01,1
thornma01,2
beimejo01,2
kershcl01,6
kurodhi01,5
mcdonja03,1
wadeco01,3
durbich01,9
happja01,4
madsory01,9
marshse01,3
samarje01,1
bushda01,1
gallayo01,3
mccluse01,1
parrama01,2
stettmi01,1
torresa01,1
villaca01,1
bulgeja01,2
jepseke01,3
palmema01,1
aceveal01,3
burneaj01,6
cokeph01,10
roberda08,8
blackni01,1
duensbr01,2
liriafr01,4
mahayro01,1
mijarjo01,5
rauchjo01,2
bardda01,1
buchhcl01,4
ramirra02,4
belisro01,4
elbersc01,2
padilvi01,2
sherrge01,2
troncra01,1
wolfra02,4
bastaan01,4
leecl02,7
boggsmi01,7
frankry01,1
hawksbl01,1
mccleky01,2
motteja01,7
belisma01,1
daleyma01,1
hammeja01,3
loganbo02,5
mitrese01,1
felizne01,6
hollade01,7
hunteto02,6
kirkmmi01,2
lewisco01,6
odayda01,7
ogandal01,6
rapadcl01,3
wilsocj01,7
benoijo01,8
daviswa01,6
niemaje01,1
soriara01,5
bakersc02,1
cappsma01,1
hallaro01,3
bumgama01,10
cainma01,6
garcija01,9
linceti01,7
romose01,9
sanchjo01,3
wilsobr01,6
baileho02,2
braybi01,1
chapmar01,2
cuetojo01,3
masseni01,1
ondrulo01,2
volqued01,2
woodtr01,1
dunnmi01,1
hansoto01,1
kimbrcr01,3
moylape01,1
ventejo01,2
lowema01,2
albural01,6
fistedo01,8
perryry01,2
porceri01,6
scherma01,8
schleda01,2
adamsmi03,3
feldmsc01,3
gonzami02,4
harrima01,3
tateyyo01,1
ueharko01,6
ayalalu01,3
novaiv01,1
gomesbr01,1
hellije01,2
mcgeeja01,3
moorema02,2
peraljo01,3
axforjo01,5
estrama01,2
greinza01,5
loeka01,2
marcush01,2
narvech01,2
garcija02,4
lynnla01,10
rzepcma01,7
salasfe01,6
stutemi01,1
worleva01,1
collmjo01,1
hernada01,1
hudsoda01,1
kenneia01,1
parkeja02,3
paterjo01,1
putzjj01,1
shawbr01,2
zieglbr01,1
sanchan01,6
smylydr01,4
eppleco01,1
phelpda01,2
chenwe02,3
gonzami03,2
johnsji04,2
matusbr01,3
pattotr01,1
stroppe01,1
anderbr04,2
blevije01,2
cookry01,2
doolise01,3
griffaj01,1
milonto01,1
scribev01,1
darviyu01,1
kontoge01,3
vogelry01,6
kellyjo05,5
millesh01,4
mujiced01,5
